13 78
0 1 4
0 2 13
0 3 7
0 4 7
0 5 11
0 6 15
0 7 19
0 8 21
0 9 2
0 10 10
0 11 100
0 12 110
1 2 9
1 3 3
1 4 7
1 5 7
1 6 11
1 7 15
1 8 17
1 9 2
1 10 6
1 11 96
1 12 106
2 3 10
2 4 14
2 5 6
2 6 6
2 7 6
2 8 8
2 9 11
2 10 7
2 11 87
2 12 97
3 4 4
3 5 4
3 6 8
3 7 14
3 8 14
3 9 5
3 10 3
3 11 93
3 12 103
4 5 8
4 6 8
4 7 18
4 8 14
4 9 7
4 10 7
4 11 93
4 12 103
5 6 4
5 7 10
5 8 10
5 9 9
5 10 1
5 11 89
5 12 99
6 7 10
6 8 6
6 9 13
6 10 5
6 11 85
6 12 95
7 8 12
7 9 17
7 10 11
7 11 81
7 12 101
8 9 19
8 10 11
8 11 83
8 12 89
9 10 8
9 11 98
9 12 108
10 11 90
10 12 100
11 12 172
